collection,version
2009oct_Chesapeake,0
2dimpacts,1
AAOT,0
AA_L2A,1
ABI_G16-STAR-L2P-v2.70,2.70
ABI_G16-STAR-L3C-v2.70,2.70
ABI_G17-STAR-L2P-v2.71,2.71
ABI_G17-STAR-L3C-v2.71,2.71
ABLE_897,1
ABLVIS1B,1
ABLVIS1B,1
ABLVIS2,1
ABLVIS2,1
ABOLVIS1A,1
ABOLVIS1A,1
ABoVE_ASCENDS_Backscatter_2051,1
ABoVE_ASCENDS_Merge_2114,1
ABoVE_ASCENDS_XCO2_2050,1
ABoVE_AirSWOT_Radar_Data_1646,1
ABoVE_AirSWOT_Water_Mask_1707,1
ABoVE_Airborne_AV3_V1_2388,1
ABoVE_Airborne_AVIRIS_NG_V3_2362,3
ABoVE_Annual_Veg_Resilience_2374,1
ABoVE_Arctic_CAP_1658,1
ABoVE_Atmospheric_Flask_Data_1717,1
ABoVE_CO2_CH4_Flux_Estimates_2121,1
ABoVE_Concise_Experiment_Plan_1617,1.1
ABoVE_Domain_Projected_LULC_2353,1
ABoVE_Fire_Severity_dNBR_1564,1
ABoVE_Footprints_WRF_AK_NWCa_1896,1
ABoVE_Forage_Lichen_Maps_1867,1
ABoVE_ForestDisturbance_Agents_1924,1
ABoVE_Frac_Open_Water_1362,1
ABoVE_GrowingSeason_Lake_Color_1866,1
ABoVE_Izaviknek_Field_Data_1772,1
ABoVE_L1_P_SAR_1800,1
ABoVE_LVIS_VegetationStructure_1923,1
ABoVE_MODIS_MAIAC_Reflectance_1858,1
ABoVE_NWT_2017_Field_Data_1771,1
ABoVE_Open_Water_Map_1643,1
ABoVE_PBand_SAR_1657,1
ABoVE_Particles_WRF_AK_NWCa_1895,1
ABoVE_Planning_Field_Sites_1582,1
ABoVE_Plot_Data_Burned_Sites_1744,1
ABoVE_ReSALT_InSAR_PolSAR_V3_2004,3
ABoVE_SAR_Surveys_2150,1
ABoVE_SnowModel_Data_2105,1
ABoVE_Soil_Radiocarbon_NWT_1664,1
ABoVE_Soil_Respiration_Maps_1935,1
ABoVE_Soil_ThawDepth_Moisture_1903,1
ABoVE_Soil_ThawMoisture_2369,1
ABoVE_Thaw_Depth_1579,1.0
ABoVE_Uncertainty_Maps_1652,1
ABoVE_reference_grid_v2_1527,2.1
ACCLIP_AerosolCloud_AircraftRemoteSensing_WB57_Data,1
ACCLIP_Aerosol_AircraftInSitu_WB57_Data,1
ACCLIP_AircraftInSitu_WB57_Water_Data,1
ACCLIP_Cloud_AircraftInSitu_WB57_Data,1
ACCLIP_Merge_WB57-Aircraft_Data,1
ACCLIP_MetNav_AircraftInSitu_WB57_Data,1
ACCLIP_Model_WB57_Data,1
ACCLIP_TraceGas_AircraftInSitu_WB57_Data,1
ACE,0
ACE-ASIA,0
ACE-INC,0
ACEPOL_AircraftRemoteSensing_AirHARP_Data,1
ACEPOL_AircraftRemoteSensing_AirSPEX_Data,1
ACEPOL_AircraftRemoteSensing_CPL_Data,1
ACEPOL_AircraftRemoteSensing_HSRL2_Data,1
ACEPOL_AircraftRemoteSensing_RSP_Data,1
ACEPOL_MetNav_AircraftInSitu_Data,1
ACIDD,0
ACOSMonthlyGriddedXCO2,3
ACOS_L2S,9r
ACOS_L2_Lite_FP,9r
ACR3L2DM,1
ACR3L2SC,1
ACRIMII_TSI_UARS_NAT,1
ACTAMERICA-PICARRO_Ground_1568,1.1
ACTAMERICA_Campaign_Catalog_1862,1
ACTAMERICA_Hskping_1574,1.1
ACTAMERICA_MFFLL_1649,1.1
ACTAMERICA_MFLL_L1_1817,1
ACTAMERICA_Merge_1593,1.2
ACTAMERICA_PFP_1575,1.2
ACTAMERICA_PICARRO_1556,1.2
ACTAMERICA_WRF_Chem_Output_1884,1
ACTIVATE-FLEXPART,1
ACTIVATE-MODIS-MERRA2,1
ACTIVATE-Satellite,1
ACTIVATE_AerosolCloud_AircraftRemoteSensing_KingAir_Data,1
ACTIVATE_Aerosol_AircraftInSitu_Falcon_Data,1
ACTIVATE_Cloud_AircraftInSitu_Falcon_Data,1
ACTIVATE_Merge_Data,1
ACTIVATE_MetNav_AircraftInSitu_Falcon_Data,1
ACTIVATE_MetNav_AircraftInSitu_KingAir_Data,1
ACTIVATE_Miscellaneous_Data,1
ACTIVATE_Model_Data,1
ACTIVATE_TraceGas_AircraftInSitu_Falcon_Data,1
ACT_CASA_Ensemble_Prior_Fluxes_1675,1.1
AEHYP1TPPOK,001
AEHYPCCMN300MM,001
AEHYPICNE1M,001
AEHYPWRNE1M,001
AERDA_D3_VIIRS_MODIS_NRT,1
AERDA_L3_VIIRS_MODIS_NRT,1
AERDB_D3_ABI_G16,1
AERDB_D3_ABI_G17,1
AERDB_D3_AHI_H08,1
AERDB_D3_GEOLEO_Merged,1
AERDB_D3_VIIRS_NOAA20,2
AERDB_D3_VIIRS_SNPP,2
AERDB_L2G_GEOLEO_Merged,1
AERDB_L2_ABI_G16,1
AERDB_L2_ABI_G17,1
AERDB_L2_AHI_H08,1
AERDB_L2_VIIRS_NOAA20,2
AERDB_L2_VIIRS_NOAA20_NRT,2
AERDB_L2_VIIRS_SNPP,2
AERDB_L2_VIIRS_SNPP_NRT,1.1
AERDB_L2_VIIRS_SNPP_NRT,2
AERDB_M3_ABI_G16,1
AERDB_M3_ABI_G17,1
AERDB_M3_AHI_H08,1
AERDB_M3_GEOLEO_Merged,1
AERDB_M3_VIIRS_NOAA20,2
AERDB_M3_VIIRS_SNPP,2
AERDT_L2_VIIRS_NOAA20,2
AERDT_L2_VIIRS_NOAA20_NRT,2
AERDT_L2_VIIRS_SNPP,2
AERDT_L2_VIIRS_SNPP_NRT,1.1
AERDT_L2_VIIRS_SNPP_NRT,2
AERONET_aerosol_706,1
AEROSE,0
AER_DBDT_D10KM_L3_MODIS_AQUA,001
AER_DBDT_D10KM_L3_MODIS_TERRA,001
AER_DBDT_D10KM_L3_VIIRS_NOAA20,001
AER_DBDT_D10KM_L3_VIIRS_SNPP,001
AER_DBDT_M10KM_L3_MODIS_AQUA,001
AER_DBDT_M10KM_L3_MODIS_TERRA,001
AER_DBDT_M10KM_L3_VIIRS_NOAA20,001
AER_DBDT_M10KM_L3_VIIRS_SNPP,001
AE_5DSno,2
AE_5DSno,2
AE_DyOcn,2
AE_DyOcn,2
AE_DySno,2
AE_DySno,2
AE_L2A,4
AE_L2A,4
AE_Land,2
AE_Land,2
AE_Land,3
AE_Land,3
AE_Land3,2
AE_Land3,2
AE_MoOcn,2
AE_MoOcn,2
AE_MoSno,2
AE_MoSno,2
AE_Ocean,2
AE_Ocean,2
AE_Rain,3
AE_Rain,3
AE_Rain,4
AE_Rain,4
AE_RnGd,2
AE_RnGd,2
AE_SI12,3
AE_SI12,3
AE_SI25,3
AE_SI25,3
AE_SI6,3
AE_SI6,3
AE_SID,1
AE_SID,1
AE_WkOcn,2
AE_WkOcn,2
AFLVIS1B,1
AFLVIS1B,1
AFLVIS2,1
AFLVIS2,1
AFOLVIS1A,1
AFOLVIS1A,1
AG100,003
AG1km,003
AG5KMMOH,041
AGB_CanopyHt_Cover_NewEngland_1854,1
AGB_Carbon_Sequestration_RGGI_1922,1
AGB_Great_Slave_Lake_NWT_2365,1
AGB_NEP_Disturbance_US_Forests_1829,2
AGB_Pantropics_Amazon_Mexico_1824,1
AHI_H08-STAR-L2P-v2.70,2.70
AHI_H08-STAR-L3C-v2.70,2.70
AIRABRAD,005
AIRABRAD_NRT,005
AIRG2SSD,006
AIRG2SSD_IRonly,006
AIRG2SSD_IRonly,7.0
AIRH2CCF,006
AIRH2CCF,7.0
AIRH2RET,006
AIRH2RET,7.0
AIRH2SUP,006
AIRH2SUP,7.0
AIRH3QP5,006
AIRH3QPM,006
AIRH3SP8,006
AIRH3SPD,006
AIRH3SPD,7.0
AIRH3SPM,006
AIRH3SPM,7.0
AIRH3ST8,006
AIRH3STD,006
AIRH3STD,7.0
AIRH3STM,006
AIRH3STM,7.0
AIRHBRAD,005
AIRI2CCF,006
AIRI2CCF,7.0
AIRIBQAP,005
AIRIBQAP_NRT,005
AIRIBRAD,005
AIRIBRAD_NRT,005
AIRIBRAD_NRT_BUFR,005
AIRICRAD,6.7
AIRICRAD_NRT,6.7
AIRMISR_BARC_2001,1
AIRMISR_BARTLETT_2003,1
AIRMISR_CLAMS_2001,1
AIRMISR_HARVARD_2003,1
AIRMISR_HOWLAND_2003,1
AIRMISR_KONVEX,1
AIRMISR_LUNAR_LAKE_2000,1
AIRMISR_LUNAR_LAKE_2001,1
AIRMISR_MONTEREY_1999,1
AIRMISR_MORGAN_MONROE_2003,1
AIRMISR_ROGERS_LAKE_2001,1
AIRMISR_SAFARI,1
AIRMISR_SERC_2003,1
AIRMISR_SNOW_ICE_2001,1
AIRMISR_WISCONSIN_2000,1
AIRS2CCF,006
AIRS2CCF,7.0
AIRS2CCF_NRT,006
AIRS2CCF_NRT,7.0
AIRS2RET,006
AIRS2RET,7.0
AIRS2RET_NRT,006
AIRS2RET_NRT,7.0
AIRS2SPC,005
AIRS2STC,005
AIRS2SUP,006
AIRS2SUP,7.0
AIRS2SUP_NRT,006
AIRS2SUP_NRT,7.0
AIRS3C28,005
AIRS3C2D,005
AIRS3C2M,005
AIRS3QP5,006
AIRS3QPM,006
AIRS3SP8,006
AIRS3SPD,006
AIRS3SPD,7.0
AIRS3SPM,006
AIRS3SPM,7.0
AIRS3ST8,006
AIRS3STD,006
AIRS3STD,7.0
AIRS3STM,006
AIRS3STM,7.0
AIRSAC3MNH3,3
AIRSAQIRL1B,8.0
AIRSAQIRL1B_NRT,8.0
AIRSAR_INT_JPG,1
AIRSAR_POL_3FP,1
AIRSAR_POL_SYN_3FP,1
AIRSAR_TOP_C-DEM_STOKES,1
AIRSAR_TOP_DEM,1
AIRSAR_TOP_DEM_C,1
AIRSAR_TOP_DEM_L,1
AIRSAR_TOP_DEM_P,1
AIRSAR_TOP_L-STOKES,1
AIRSAR_TOP_P-STOKES,1
AIRSIL3MSOLR,6.1
